0000075 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679276 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297570
0000076 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679279 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679283 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000078 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679286 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (15, 2) 0x7f48384004c8
0000079 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679290 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2004004c8) size: 297570
0000080 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 295290
0000081 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679296 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 295290 ig: 0
0000082 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679300 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 295290
0000083 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679303 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679306 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (19, 32747)
0000085 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679309 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (17, 2) 0x7f48384804c8
0000086 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679313 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2004804c8) size: 295290
0000087 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301830
0000088 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301830 ig: 0
0000089 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301830
0000090 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679326 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000091 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
0000092 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679333 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (19, 2) 0x7f48385004c8
0000093 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2005004c8) size: 301830
0000094 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303390
0000095 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679343 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303390 ig: 0
0000096 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679346 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303390
0000097 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679349 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000098 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
0000099 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679356 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (21, 2) 0x7f48385804c8
0000100 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679367 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2005804c8) size: 303390
0000101 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679371 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 294660
0000102 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 294660 ig: 0
0000103 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679378 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 294660
0000104 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000105 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679385 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (25, 32741)
0000106 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679389 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (23, 2) 0x7f48386004c8
0000107 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679392 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2006004c8) size: 294660
0000108 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302820
0000109 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679399 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302820 ig: 0
0000110 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679403 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302820
0000111 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679406 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679409 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (27, 32739)
0000113 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679413 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (25, 2) 0x7f48386804c8
0000114 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679416 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2006804c8) size: 302820
0000115 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297600
0000116 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297600 ig: 0
0000117 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679426 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297600
0000118 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679429 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000119 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (29, 32737)
0000120 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (27, 2) 0x7f48387004c8
0000121 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679439 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2007004c8) size: 297600
0000122 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679442 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297360
0000123 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679445 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297360 ig: 0
0000124 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679449 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297360
0000125 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679452 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000126 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679455 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (31, 32735)
0000127 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (29, 2) 0x7f48387804c8
0000128 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2007804c8) size: 297360
0000129 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679465 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299610
0000130 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679468 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299610 ig: 0
0000131 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299610
0000132 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000133 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (33, 32733)
0000134 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (31, 2) 0x7f48388004c8
0000135 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679485 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2008004c8) size: 299610
0000136 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300870
0000137 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300870 ig: 0
0000138 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300870
0000139 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000140 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679501 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (35, 32731)
0000141 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (33, 2) 0x7f48388804c8
0000142 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679508 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2008804c8) size: 300870
0000143 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679511 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299640
