0000109 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618765 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303480 ig: 0
0000110 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618768 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303480
0000111 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618771 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618775 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (27, 32739)
0000113 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618778 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (25, 2) 0x7f6e9e7b04c8
0000114 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618782 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a006804c8) size: 303480
0000115 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618785 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 304830
0000116 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618788 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 304830 ig: 0
0000117 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618792 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 304830
0000118 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618795 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000119 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618799 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (29, 32737)
0000120 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (27, 2) 0x7f6e9e8304c8
0000121 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618806 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a007004c8) size: 304830
0000122 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618809 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 296460
0000123 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618812 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 296460 ig: 0
0000124 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618815 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 296460
0000125 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618818 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000126 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618822 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (31, 32735)
0000127 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618827 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 21 extent: (29, 2) 0x7f6e9e8b04c8
0000128 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618830 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2a007804c8) size: 296460
0000129 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618834 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299430
0000130 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618837 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299430 ig: 0
0000131 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618840 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299430
0000132 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618843 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000133 | T.0x00007fc7ea5ea700 | 2019-06-21, 02:16:22.618847 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (33, 32733)
