0000095 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000096 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070587 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (18, 32748)
0000097 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070596 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (16, 2) 0x7eecfa8e74c8
0000098 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070605 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18004404c8) size: 294300
0000099 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070620 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 286650
0000100 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 286650 ig: 0
0000101 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070627 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 286650
0000102 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070630 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000103 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070633 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (20, 32746)
0000104 | T.0x00007f5649afa700 | 2019-06-21, 02:46:09.070636 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (18, 2) 0x7eecfa9674c8
