0000058 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222416 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080948) size: 30
0000060 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000061 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000062 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222429 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000063 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 3
0000064 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000065 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080968) size: 30
0000066 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222442 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000067 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222445 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000068 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222448 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000069 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222451 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 4
0000070 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222455 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000071 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222458 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080988) size: 30
0000072 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000073 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222464 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000074 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222468 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000075 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222471 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 5
0000076 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000809a8) size: 30
0000078 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000079 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222486 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000080 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222489 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000081 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 6
0000082 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222497 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000083 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222500 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000809c8) size: 30
0000084 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222503 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000085 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000086 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000087 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 7
0000088 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000089 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000809e8) size: 30
0000090 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000091 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000092 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647448 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000093 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 1
0000094 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000095 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647486 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000406e8) size: 412
0000096 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647506 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000097 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000098 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647603 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000099 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647616 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 8
0000100 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647621 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000101 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647631 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080a08) size: 30
0000102 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000103 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647642 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000104 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647650 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000105 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647659 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000c04c8) block: 1
0000106 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000107 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647675 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000c0748) size: 60
0000108 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647679 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000109 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647685 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000110 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647691 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000111 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647698 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 9
0000112 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647702 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000113 | T.0x00007fb218dfa700 | 2019-06-21, 02:19:49.647706 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080a28) size: 30
