0000099 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742686 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000100 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742695 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000101 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000102 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742709 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000103 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000104 | T.0x00007f37307e6700 | 2019-06-21, 02:20:16.742727 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000105 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742736 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (4, 32762)
0000106 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742750 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 24 extent: (3, 1) 0x7ee5f122f4c8
0000107 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742840 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000108 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742848 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x30001004c8) block: 0
0000109 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742858 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000110 | T.0x00007f37325fa700 | 2019-06-21, 02:20:16.742864 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x3000100648) size: 90
