0000094 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000404c8) block: 1
0000095 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329204 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000096 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329209 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a000406e8) size: 412
0000097 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329229 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000098 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329234 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000099 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329275 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000093 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329192 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000100 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329284 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000804c8) block: 8
0000101 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000102 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329307 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000103 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000104 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00080a08) size: 30
0000105 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000404c8) block: 2
0000106 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329342 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000107 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000108 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329360 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000109 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329374 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00040888) size: 412
0000110 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329380 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000111 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000804c8) block: 9
0000112 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329400 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000113 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329401 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000114 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000115 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329424 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00080a28) size: 30
0000116 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000117 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329443 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000118 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329458 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000804c8) block: 10
0000119 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000120 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000121 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000122 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00080a48) size: 30
0000123 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000804c8) block: 11
0000124 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329500 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000126 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329518 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000127 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000125 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329507 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000129 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329584 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4a000804c8) block: 12
0000128 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00080a68) size: 30
0000130 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329599 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000131 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329609 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000132 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329618 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4a00080a88) size: 30
0000133 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329628 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000134 | T.0x00007f85249a2700 | 2019-06-21, 02:20:34.329637 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000135 | T.0x00007f851dffd700 | 2019-06-21, 02:20:34.329647 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
