0000060 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000c04c8) block: 0
0000061 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000062 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264464 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x10000c0708) size: 60
0000063 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000c04c8) block: 1
0000064 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264468 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000065 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264473 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000066 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264477 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000067 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x10000c0748) size: 60
0000068 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264483 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000069 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264487 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000070 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264492 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000c04c8) block: 2
0000071 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000072 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264496 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000073 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264501 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000074 | T.0x00007f67a44ec700 | 2019-06-21, 02:19:49.264505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x10000c0788) size: 60
0000075 | T.0x00007f68b41da700 | 2019-06-21, 02:19:49.264510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x10000804c8) block: 2
