0000069 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267601 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 4
0000070 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000071 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267611 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1200080988) size: 30
0000072 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267617 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000073 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267623 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000074 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267629 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000075 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267634 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000c04c8) block: 1
0000076 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267639 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267644 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x12000c0748) size: 60
0000078 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267650 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000079 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267656 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000080 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267661 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000081 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 5
0000082 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267674 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000083 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267678 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x12000809a8) size: 30
0000084 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746051 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000085 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746140 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000086 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746149 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000087 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746169 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000404c8) block: 1
0000088 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000089 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746192 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x12000406e8) size: 412
0000090 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746214 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000091 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746223 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000092 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000093 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000804c8) block: 6
0000094 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746247 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000095 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x12000809c8) size: 30
0000096 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746258 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000097 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000098 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000099 | T.0x00007f5fbaafb700 | 2019-06-21, 02:19:49.746363 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000c04c8) block: 2
