0000065 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327057 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000066 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327067 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000c04c8) block: 0
0000067 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327072 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000068 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327077 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000c0708) size: 60
0000069 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327078 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 3
0000070 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327082 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000071 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000072 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327087 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000073 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327090 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080968) size: 30
0000074 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327091 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000075 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327094 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000076 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000c04c8) block: 1
0000077 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327099 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000078 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327101 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000079 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327106 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000080 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327111 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000c0748) size: 60
0000081 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327117 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 4
0000082 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327121 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000083 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327126 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000084 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327131 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000085 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080988) size: 30
0000086 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327140 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000087 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327145 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000088 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327150 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000c04c8) block: 2
0000089 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327154 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000090 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327159 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000091 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327164 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000092 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000c0788) size: 60
0000093 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327173 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 5
0000094 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327178 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000095 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000096 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327187 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000097 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327192 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000809a8) size: 30
0000098 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000099 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327214 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000100 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327218 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000c04c8) block: 3
0000101 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327223 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000102 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327228 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000103 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000104 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327238 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000c07c8) size: 60
0000105 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327244 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 6
0000106 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327248 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000107 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327254 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000108 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327258 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000109 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000809c8) size: 30
0000110 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327268 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000111 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327272 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000112 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327277 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 7
0000113 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000114 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327287 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000115 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327292 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000116 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.327297 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000809e8) size: 30
0000117 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 8
0000118 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327310 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000119 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327313 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080a08) size: 30
0000120 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000121 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000122 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000123 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327327 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 9
0000124 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327331 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000125 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327340 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080a28) size: 30
0000126 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327344 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000127 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327347 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000128 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000129 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 10
0000130 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000131 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327361 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080a48) size: 30
0000132 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000133 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327368 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000134 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327371 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000135 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 11
0000136 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327378 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000137 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.327381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080a68) size: 30
