0000105 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000107 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720653 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (15, 32751)
0000108 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 34 extent: (13, 2) 0x7ec315e254c8
0000106 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.720649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300960
0000109 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720662 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x44003804c8) size: 295440
0000110 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.720672 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300960 ig: 0
0000111 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720681 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298200
0000113 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720691 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298200 ig: 0
0000114 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298200
0000115 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720702 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000116 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720707 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000112 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.720686 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300960
0000117 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720712 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 34 extent: (15, 2) 0x7ec315ea54c8
0000118 | T.0x00007f00ecaca700 | 2019-06-21, 02:24:28.720724 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x44004004c8) size: 298200
0000119 | T.0x00007efffd1e0700 | 2019-06-21, 02:24:28.720726 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
