0000116 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543904 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 207459 ig: 0
0000117 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543907 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 207459
0000118 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543910 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000119 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543913 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (15, 32751)
0000120 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543917 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (14, 1) 0x7faacc3c04c8
0000121 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543920 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c003c04c8) size: 207459
0000122 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543924 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 206556
0000123 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 206556 ig: 0
0000124 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 206556
0000125 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543933 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000126 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543937 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (16, 32750)
0000127 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (15, 1) 0x7faacc4004c8
0000128 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543944 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c004004c8) size: 206556
0000129 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209517
0000130 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543950 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209517 ig: 0
0000131 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543954 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 209517
0000132 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543957 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000133 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543960 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000134 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543964 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (16, 1) 0x7faacc4404c8
0000135 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c004404c8) size: 209517
0000136 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212667
0000137 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543974 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 212667 ig: 0
0000138 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 212667
0000139 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543980 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000140 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (18, 32748)
0000141 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543987 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (17, 1) 0x7faacc4804c8
0000142 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c004804c8) size: 212667
0000143 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543993 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209895
0000144 | T.0x00007fd029bfb700 | 2019-06-21, 02:09:43.543997 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209895 ig: 0
