0000077 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992435 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (17, 32749)
0000078 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992439 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (15, 2) 0x7fdc084004c8
0000079 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992443 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e004004c8) size: 302970
0000080 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297240
0000081 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992449 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297240 ig: 0
0000082 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992452 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297240
0000083 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992455 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000084 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992458 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (19, 32747)
0000085 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (17, 2) 0x7fdc084804c8
0000086 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992465 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e004804c8) size: 297240
0000087 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300270
0000088 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300270 ig: 0
0000089 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300270
0000090 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000091 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
0000092 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (19, 2) 0x7fdc085004c8
0000093 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992487 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e005004c8) size: 300270
0000094 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300000
0000095 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 300000 ig: 0
0000096 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992497 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 300000
0000097 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992500 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000098 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992504 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
0000099 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992507 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (21, 2) 0x7fdc085804c8
0000100 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e005804c8) size: 300000
0000101 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302850
0000102 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302850 ig: 0
0000103 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302850
0000104 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992533 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000105 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (25, 32741)
0000106 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (23, 2) 0x7fdc086004c8
0000107 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6e006004c8) size: 302850
0000108 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992547 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302340
0000109 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302340 ig: 0
0000110 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992553 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302340
0000111 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (27, 32739)
0000113 | T.0x00007fef5effe700 | 2019-06-21, 02:17:20.992563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 55 extent: (25, 2) 0x7fdc086804c8
