0000111 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937179 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297480 ig: 0
0000112 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297480
0000113 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937186 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000114 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937189 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (19, 32747)
0000115 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937193 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (17, 2) 0x7fc5144804c8
0000116 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937196 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68004804c8) size: 297480
0000117 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937199 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298770
0000118 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937202 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298770 ig: 0
0000119 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937206 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298770
0000120 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937209 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000121 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937212 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (21, 32745)
0000122 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937215 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (19, 2) 0x7fc5145004c8
0000123 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937218 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68005004c8) size: 298770
0000124 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 294990
0000125 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937225 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 294990 ig: 0
0000126 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937228 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 294990
0000127 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937231 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000129 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
0000128 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.937234 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299880
0000130 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937239 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (21, 2) 0x7fc5145804c8
0000131 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.937256 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299880 ig: 0
0000132 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937266 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68005804c8) size: 294990
0000133 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.937274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299880
0000134 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937275 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303240
