0000062 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000063 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228959 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000c04c8) block: 0
0000064 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000065 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228966 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8000c0708) size: 60
0000066 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000067 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228973 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000068 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000069 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228980 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000c04c8) block: 1
0000070 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000071 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228987 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8000c0748) size: 60
0000072 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000073 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228993 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000074 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.228996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000075 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229000 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000804c8) block: 4
0000076 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229003 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229006 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x800080988) size: 30
0000078 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229010 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000079 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229014 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000080 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229017 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000081 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229020 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000804c8) block: 5
0000082 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229024 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000083 | T.0x00007efe386ee700 | 2019-06-21, 02:19:49.229027 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8000809a8) size: 30
0000084 | T.0x00007efe402d3700 | 2019-06-21, 02:19:49.258322 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000085 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258322 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000086 | T.0x00007efe402d3700 | 2019-06-21, 02:19:49.258363 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000087 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258370 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000089 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258378 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000088 | T.0x00007efe402d3700 | 2019-06-21, 02:19:49.258377 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000090 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258389 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000404c8) block: 1
0000091 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258396 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000092 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258403 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8000406e8) size: 412
0000093 | T.0x00007efe402d3700 | 2019-06-21, 02:19:49.258407 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x8000404c8) block: 2
0000095 | T.0x00007efe384ec700 | 2019-06-21, 02:19:49.258415 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000094 | T.0x00007efe402d3700 | 2019-06-21, 02:19:49.258413 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
